Section,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
1,POI15,POI18,POI26,POI27,POI29,POI44,POI47,POI49,POI51,POI58,POI60,POI61,POI71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,POI12,POI14,POI15,POI18,POI19,POI26,POI27,POI29,POI30,POI44,POI47,POI49,POI51,POI58,POI60,POI61,POI62,POI64,POI67,POI71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,POI7,POI11,POI12,POI14,POI15,POi16,POI17,POI18,POI19,POI26,POI27,POI29,POI30,POI32,POI44,POI47,POI48,POI49,POI50,POI51,POI55,POI58,POI59,POI60,POI61,POI62,POI64,POI67,POI71,POI72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,POI7,POI11,POI12,POI14,POI15,POI16,POI17,POI18,POI19,POI22,POI26,POI27,POI29,POI30,POI32,POI38,POI44,POI47,POI48,POI49,POI50,POI51,POI55,POI56,POI58,POI59,POI60,POI61,POI62,POI64,POI67,POI71,POI72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,POI7,POI10,POI11,POI12,POI14,POI15,POI16,POI17,POI18,POI19,POI21,POI22,POI26,POI27,POI28,POI29,POI30,POI33,POI37,POI38,POI42,POI44,POI47,POI48,POI49,POI50,POI51,POI55,POI56,POI57,POI58,POI59,POI60,POI61,POI62,POI64,POI67,POI71,POI72,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,POI2,POI3,POI4,POI5,POI7,POI9,POI10,POI11,POI12,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI24,POI26,POI27,POI28,POI29,POI30,POI33,POI37,POI38,POI42,POI44,POI47,POI48,POI49,POI50,POI51,POI53,POI54,POI55,POI56,POI57,POI58,POI59,POI60,POI61,POI63,POI64,POI67,POI70,POI71,POI72,POI73,,,,,,,,,,,,,,,,
7,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI9,POI10,POI11,POI12,POI13,POI14,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI26,POI27,POI28,POI29,POI30,POI31,POI33,POI37,POI38,POI39,POI42,POI44,POI47,POI48,POI49,POI50,POI51,POI53,POI54,POI56,POI57,POI58,POI59,POI60,POI61,POI62,POI63,POI64,POI65,POI66,POI67,POI68,POI69,POI70,POI71,POI72,POI73,,,,,
8,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI9,POI10,POI11,POI12,POI13,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI27,POI28,POI29,POI30,POI31,POI33,POI34,POI37,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI47,POI48,POI49,POI50,POI51,POI53,POI54,POI56,POI57,POI58,POI59,POI60,POI61,POI62,POI63,POI64,POI65,POI66,POI67,POI68,POI69,POI70,POI71,POI72,POI73,,
9,POI1,POI2,POI3,POI4,POI5,POI6,POI7,POI8,POI9,POI10,POI11,POI12,POI13,POI15,POI16,POI17,POI18,POI19,POI20,POI21,POI22,POI23,POI24,POI25,POI27,POI29,POI30,POI31,POI33,POI34,POI35,POI37,POI38,POI39,POI40,POI41,POI43,POI44,POI45,POI46,POI47,POI48,POI49,POI50,POI51,POI52,POI53,POI54,POI55,POI56,POI58,POI59,POI60,POI61,POI62,POI63,POI64,POI65,POI66,POI67,POI68,POI69,POI70,POI71,POI72,POI73
10,POI6,POI7,POI8,POI10,POI12,POI15,POI16,POI17,POI18,POI19,POI22,POI24,POI27,POI28,POI29,POI30,POI31,POI32,POI33,POI34,POI35,POI38,POI39,POI40,POI41,POI42,POI43,POI44,POI45,POI46,POI47,POI48,POI49,POI51,POI52,POI55,POI58,POI60,POI61,POI62,POI64,POI65,POI66,POI67,POI68,POI69,POI71,POI72,POI73,,,,,,,,,,,,,,,,,
11,POI1,POI7,POI8,POI9,POI10,POI11,POI12,POI14,POI15,POI16,POI18,POI19,POI22,POI27,POI28,POI29,POI30,POI32,POI33,POI35,POI36,POI39,POI40,POI41,POI43,POI44,POI45,POI46,POI47,POI49,POI51,POI52,POI55,POI56,POI57,POI58,POI60,POI61,POI64,POI65,POI66,POI67,POI68,POI69,POI71,,,,,,,,,,,,,,,,,,,,,
12,POI1,POI5,POI8,POI9,POI12,POI14,POI15,POI18,POI22,POI27,POI29,POI30,POI33,POI36,POI39,POI41,POI44,POI46,POI47,POI49,POI51,POI55,POI58,POI60,POI61,POI66,POI67,POI71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,POI18,POI27,POI29,POI44,POI47,POI49,POI51,POI55,POI58,POI60,POI61,POI71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,