PID,POIs
POI1,AMBER PALACE
POI2,CITY PALACE JAIPUR
POI3,JANTAR MANTAR JAIPUR
POI4,HAWA MAHAL
POI5,ALBERT HALL MUSEUM (CENTRAL MUSEUM)
POI6,NAHARGARH FORT
POI7,BIRLA TEMPLE JAIPUR
POI8,JAL MAHAL
POI9,KING EDWARD MEMORIAL
POI10,SISODIA RANI PALACE AND GARDEN
POI11,VIDYADHAR GARDEN
POI12,CENTRAL PARK
POI13,ANOKHI MUSEUM OF HAND PRINTING
POI14,GOVIND DEVJI TEMPLE
POI15,MOTI DOONGRI GANESH TEMPLE
POI16,DIGAMBER JAIN MANDIR JAIPUR
POI17,GALTAJI
POI18,STATUE CIRCLE
POI19,RAM NIWAS GARDEN
POI20,ZOOLOGICAL GARDEN JAIPUR
POI21,KANAK VRINDAVAN
POI22,AMAR JAWAN JYOTI JAIPUR
POI23,MAHARANI KI CHHATRI JAIPUR
POI24,NAHARGARH BIOLOGICAL PARK
POI25,JAWAHAR KALA KENDRA
POI26,RAJ MANDIR
POI27,SAMBHAR LAKE
POI28,AKSHARDHAM TEMPLE JAIPUR
POI29,JAGAT SHIROMANI TEMPLE
POI30,JAWAHAR CIRCLE
POI31,MUSEUM OF GEM AND JEWELLERY
POI32,JHALANA SAFARI PARK IN JAIPUR
POI33,MASALA CHOWK
POI34,AMRAPALI MUSEUM
POI35,MUSEUM OF LEGACIES
POI36,CHOKHI DHANI
POI37,ELEFANTASTIC ELEPHANT FARM
POI38,PANNA MEENA KI BAOLI
POI39,JOHARI BAZAAR
POI40,BAPU BAZAAR
POI41,WORLD TRADE PARK
POI42,GARH GANESH MANDIR
POI43,MUKESH ART GALLERY
POI44,ANGEL RESORT AND AMUSEMENT WATERPARK
POI45,B M BIRLA AUDITORIUM
POI46,"KHOLE KE HANUMAN JI TEMPLE, JAIPUR"
POI47,SKYFUT
POI48,GATORE KI CHHATRI JAIPUR
POI49,RUSIRANI VILLAGE JAIPUR
POI50,DEER PARK JAIPUR
POI51,RAMGARH LAKE
POI52,MUSEUM OF LEGACIES
POI53,ST ANDREWS CHURCH JAIPUR
POI54,JAMVA RAMGARH WILDLIFE SANCTUARY
POI55,JWALA MATA MANDIR JAIPUR
POI56,JAMWAY MATA MANDIR
POI57,LAXMI NARAYAN TEMPLE JAIPUR
POI58,DARGAH BURHANUDDIN BABA JAIPUR
POI59,KULISH SMIRITI VAN JAIPUR
POI60,DHAMMA THALI VIPASSANA MEDITATION CENTRE
POI61,CHANDLAI LAKE
POI62,SHRI GOPINATH TEMPLE JAIPUR
POI63,DOLLS MUSEUM
POI64,PEACOCK GARDEN JAIPUR
POI65,ELEMENTS MALL JAIPUR
POI66,CRYSTAL MALL JAIPUR
POI67,CENTRAL PARK JAIPUR INDIA
POI68,HANDICRAFT HAVELI JAIPUR
POI69,SUNRISE DREAM WORLD AMUSEMENT PARK
POI70,BRETHREN CHURCH JAIPUR
POI71,MI ROAD
POI72,BHANGARH
POI73,SKY WALTZ BALLOON SAFARI